,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,BROKER INFO,ALL INFO,LIST INFO,BOUGHT INFO,ALL INFO CLEAN,LIST INFO CLEAN,BOUGHT INFO CLEAN,LIST AGENTS,LIST COMPANIES,BOUGHT AGENTS,BOUGHT COMPANIES
766,PAST SALE,August-26-2022,Single Family Residential,170 Valley St,San Francisco,CA,94131,4100000.0,4.0,4.0,San Francisco,2480.0,2850.0,1900.0,,1653.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/170-Valley-St-94131/home/1631899,San Francisco MLS,422686085,N,Y,37.744702,-122.4260922,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
767,PAST SALE,March-3-2023,Single Family Residential,2772 Diamond St,San Francisco,CA,94131,2600000.0,4.0,3.0,San Francisco,2380.0,1764.0,1932.0,,1092.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/2772-Diamond-St-94131/home/1815820,San Francisco MLS,423717623,N,Y,37.7350503,-122.4339286,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
768,PAST SALE,April-8-2022,Condo/Co-op,1487 Greenwich St #1,San Francisco,CA,94109,2100000.0,3.0,2.0,San Francisco,1915.0,4852.0,1923.0,,1097.0,925.0,Sold,,,https://www.redfin.com/CA/San-Francisco/1487-Greenwich-St-94109/unit-1/home/1617440,San Francisco MLS,422637923,N,Y,37.8003473,-122.4239634,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
769,PAST SALE,October-11-2022,Condo/Co-op,1150 Lombard St #15,San Francisco,CA,94109,2425000.0,2.0,2.0,San Francisco,1595.0,50192.0,1989.0,,1520.0,1826.0,Sold,,,https://www.redfin.com/CA/San-Francisco/1150-Lombard-St-94109/unit-15/home/1952362,San Francisco MLS,422655989,N,Y,37.8021712,-122.4207557,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
770,PAST SALE,June-10-2022,Condo/Co-op,201 Folsom St Unit 28E,San Francisco,CA,94105,2090000.0,2.0,2.0,San Francisco,1366.0,75406.0,2016.0,,1530.0,1300.0,Sold,,,https://www.redfin.com/CA/San-Francisco/201-Folsom-St-94105/unit-28E/home/113975165,San Francisco MLS,422624369,N,Y,37.7886725,-122.3918619,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
771,PAST SALE,April-27-2022,Single Family Residential,370 Colon Ave,San Francisco,CA,94127,2590000.0,3.0,2.0,San Francisco,2000.0,5096.0,1925.0,,1295.0,4.0,Sold,,,https://www.redfin.com/CA/San-Francisco/370-Colon-Ave-94127/home/1954830,San Francisco MLS,422638406,N,Y,37.7323582,-122.4565652,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
772,PAST SALE,May-12-2022,Condo/Co-op,733 Front St #608,San Francisco,CA,94111,2200000.0,2.0,2.0,San Francisco,1610.0,20241.0,2007.0,,1366.0,1171.0,Sold,,,https://www.redfin.com/CA/San-Francisco/733-Front-St-94111/unit-608/home/21967058,San Francisco MLS,422651637,N,Y,37.7980575,-122.4000623,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
773,PAST SALE,May-18-2022,Single Family Residential,269 Madison St,San Francisco,CA,94134,1200000.0,2.0,1.0,San Francisco,1038.0,2996.0,1947.0,,1156.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/269-Madison-St-94134/home/771689,San Francisco MLS,422640094,N,Y,37.7258334,-122.4223264,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
774,PAST SALE,April-15-2022,Condo/Co-op,171 Alpine Ter,San Francisco,CA,94117,3050000.0,3.0,2.0,San Francisco,2261.0,2441.0,1908.0,,1349.0,350.0,Sold,,,https://www.redfin.com/CA/San-Francisco/171-Alpine-Ter-94117/home/850004,San Francisco MLS,422639662,N,Y,37.7678341,-122.4371027,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
775,PAST SALE,September-28-2022,Condo/Co-op,49 Seward St #1,San Francisco,CA,94114,1650000.0,2.0,2.0,San Francisco,1384.0,2848.0,1959.0,,1192.0,300.0,Sold,,,https://www.redfin.com/CA/San-Francisco/49-Seward-St-94114/unit-1/home/1989499,San Francisco MLS,422683891,N,Y,37.7581716,-122.4403848,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
776,PAST SALE,December-28-2022,Single Family Residential,36 Santa Rosa Ave,San Francisco,CA,94112,1555000.0,4.0,3.0,San Francisco,2000.0,3750.0,1910.0,,778.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/36-Santa-Rosa-Ave-94112/home/1544600,San Francisco MLS,422710904,N,Y,37.7263339,-122.4347241,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
777,PAST SALE,August-31-2022,Condo/Co-op,110 Channel St #316,San Francisco,CA,94158,1400000.0,2.0,2.0,San Francisco,1227.0,,2017.0,,1141.0,960.0,Sold,,,https://www.redfin.com/CA/San-Francisco/110-Channel-St-94158/unit-316/home/167382835,San Francisco MLS,422684377,N,Y,37.7747908,-122.3910791,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
778,PAST SALE,April-29-2022,Single Family Residential,500 Rockdale Dr,San Francisco,CA,94127,3100000.0,6.0,4.0,San Francisco,2570.0,3598.0,,,1206.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/500-Rockdale-Dr-94127/home/1604644,San Francisco MLS,422644025,N,Y,37.7394179,-122.4493557,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
779,PAST SALE,March-24-2022,Condo/Co-op,255 Berry St #317,San Francisco,CA,94158,2195000.0,2.0,2.5,San Francisco,1712.0,42959.0,2004.0,,1282.0,970.0,Sold,,,https://www.redfin.com/CA/San-Francisco/255-Berry-St-94158/unit-317/home/22889842,San Francisco MLS,422628389,N,Y,37.7743869,-122.3947812,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
