SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Multi-Family (2-4 Unit),1933-1935 Kirkham St #1935,San Francisco,CA,94122,1288000,,2.0,,2000,2495,1938,,644,,,,,https://www.redfin.com/CA/San-Francisco/1933-1935-Kirkham-St-94122/unit-1935/home/1229208,,,N,Y,37.7593739,-122.4817526
PAST SALE,,Condo/Co-op,1930 Mission St #13,San Francisco,CA,94103,675000,2,1.0,,811,,1993,,832,,,,,https://www.redfin.com/CA/San-Francisco/1930-Mission-St-94103/unit-13/home/1719225,,,N,Y,37.7662071,-122.4201693
PAST SALE,,Multi-Family (2-4 Unit),560 De Haro St,San Francisco,CA,94107,2475000,6,6.0,,4239,2500,2019,,584,,,,,https://www.redfin.com/CA/San-Francisco/560-De-Haro-St-94107/home/169572443,,,N,Y,37.7627508,-122.4015659
PAST SALE,,Multi-Family (5+ Unit),2514 Polk St,San Francisco,CA,94109,3750000,,6.0,,4729,1925,1907,,793,,,,,https://www.redfin.com/CA/San-Francisco/2514-Polk-St-94109/home/2003143,,,N,Y,37.8000054,-122.4223453
PAST SALE,,Condo/Co-op,70 Hartford St,San Francisco,CA,94114,1875000,3,2.0,,1506,,1901,,1245,,,,,https://www.redfin.com/CA/San-Francisco/70-Hartford-St-94114/home/114079582,,,N,Y,37.761337,-122.434251
PAST SALE,,Condo/Co-op,1325 Indiana St #22,San Francisco,CA,94107,939000,,,,945,,2002,,994,,,,,https://www.redfin.com/CA/San-Francisco/1325-Indiana-St-94107/unit-22/home/900489,,,N,Y,37.753702,-122.3903556
PAST SALE,April-15-2022,Vacant Land,1056 - 1060 Potrero Ave,San Francisco,CA,94110,1700000,,,San Francisco,,2500,,,,,Sold,,,https://www.redfin.com/CA/San-Francisco/1056-Potrero-Ave-94110/home/174696192,San Francisco MLS,421612129,N,Y,37.7551993,-122.4068903
PAST SALE,,Condo/Co-op,938 Central Ave #1,San Francisco,CA,94115,1530000,3,3.0,,1482,,2005,,1032,,,,,https://www.redfin.com/CA/San-Francisco/938-Central-Ave-94115/unit-1/home/11743051,,,N,Y,37.778457,-122.444975
PAST SALE,,Single Family Residential,2559 45th Ave,San Francisco,CA,94116,1475000,3,1.0,,1300,2996,1947,,1135,,,,,https://www.redfin.com/CA/San-Francisco/2559-45th-Ave-94116/home/1238755,,,N,Y,37.7388346,-122.5036015
PAST SALE,,Condo/Co-op,1147 Fell St,San Francisco,CA,94117,1630000,2,1.0,,1370,,1925,,1190,,,,,https://www.redfin.com/CA/San-Francisco/1147-Fell-St-94117/home/177201238,,,N,Y,37.773929,-122.436711
PAST SALE,,Single Family Residential,280 Gellert Dr,San Francisco,CA,94132,1950000,3,2.0,,2768,7501,1956,,704,,,,,https://www.redfin.com/CA/San-Francisco/280-Gellert-Dr-94132/home/2032634,,,N,Y,37.7292154,-122.4920309
PAST SALE,,Single Family Residential,58 Los Palmos Dr,San Francisco,CA,94127,1120000,2,1.0,,1260,2439,1956,,889,,,,,https://www.redfin.com/CA/San-Francisco/58-Los-Palmos-Dr-94127/home/1112476,,,N,Y,37.7351257,-122.4471245
PAST SALE,April-25-2022,Condo/Co-op,1102 Church St,San Francisco,CA,94114,1630000,2,2.0,San Francisco,1363,3062,1908,,1196,235,Sold,,,https://www.redfin.com/CA/San-Francisco/1102-Church-St-94114/home/45474832,San Francisco MLS,422639705,N,Y,37.7531638,-122.4279164
